,sentence,pos,language,switch
91,they are ?,pro:sub cop ?,ESP ESP,0
92,some times also /.,qn n adv +/.,ESP ESP ESP,0
93,but only through flyers like they just show you their flyers and talk to .,conj adv adv n co pro:sub adj n pro pro:poss:det n coord n prep .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
94,they're not doing like a whole campaign like an official campaign .,pro:sub neg part prep det n n prep det n n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
95,exactly .,adv .,ESP,0
96,you don't really know why you're voting for .,pro mod adv v adv:wh pro part prep .,ESP ESP ESP ESP ESP ESP ESP ESP,0
97,yeah .,co .,ESP,0
98,who's that people I just saw .,rel det n pro:sub adv n .,ESP ESP ESP ESP ESP ESP,0
99,people don't like to read .,n mod v inf v .,ESP ESP ESP ESP ESP,0
100,but it's kind of funny .,conj pro n prep adj .,ESP ESP ESP ESP ESP,0
101,it's interesting //.,pro part +//.,ESP ESP,0
102,ajá ?,co ?,ESP,0
103,.,None,,0
104,people don't like to read .,n mod v inf v .,ESP ESP ESP ESP ESP,0
105,ellos prefieren estar así como ver .,pro:sub v inf adv adv inf .,ESP ESP ESP ESP ESP ESP,0
106,y que allá está el man parado entonces .,coord pro:rel adv cop det:art co:voc part adv .,ESP ESP ESP ESP ESP ESP ESP ESP,0
107,yeah .,co .,ESP,0
108,who is like looks the nicest like oh .,pro:wh cop rel v det adj prep co .,ESP ESP ESP ESP ESP ESP ESP ESP,0
109,yeah .,co .,ESP,0
110,like oh this is a good looking guy oh .,co co pro:dem cop det adj part n co .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
111,oh that one is some nerd .,co rel pro:indef cop qn n .,ESP ESP ESP ESP ESP ESP,0
112,I don't want to vote for him .,pro:sub mod v inf v prep pro:obj .,ESP ESP ESP ESP ESP ESP ESP,0
113,yeah .,co .,ESP,0
114,something like that .,pro:indef prep pro:dem .,ESP ESP ESP,0
115,or like this person gave me cupcakes .,conj prep det n v pro:obj n .,ESP ESP ESP ESP ESP ESP ESP,0
116,I'll vote for her .,pro:sub v prep pro:obj .,ESP ESP ESP ESP,0
117,.,None,,0
118,but look .,conj v .,ESP ESP,0
119,but I think it's funny because it represents like how the nation is .,conj pro:sub v pro adj conj pro v prep adv:wh det n cop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
120,like people don't sit down and .,prep n mod v adv coord .,ESP ESP ESP ESP ESP ESP,0
121,listen to our campaign .,v prep pro:poss:det n .,ESP ESP ESP ESP,0
122,"they just look at the flyers and like ""/.","pro:sub adv v prep det n coord v +""/.",ESP ESP ESP ESP ESP ESP ESP ESP,0
123,oh I want to vote for a man .,co pro:sub v inf v prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
124,or I want to vote for a woman or a black man like Green_Alec .,conj pro:sub v prep n prep det n coord det n n prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
125,oh a black man as a president would be awesome .,co det n n prep det n mod cop adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
126,but they're going by the image or like a woman as a president .,conj pro:sub part prep det n coord v det n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
127,but like it's a big issue anyway .,conj co pro det adj n adv .,ESP ESP ESP ESP ESP ESP ESP,0
128,like that oh my goodness .,prep pro:dem co pro:poss:det n .,ESP ESP ESP ESP ESP,0
129,eh .,co .,ESP,0
130,but I don't know .,conj pro:sub mod v .,ESP ESP ESP ESP,0
131,I would have to live in here .,pro:sub mod v inf v prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP,0
132,I want to live in here .,pro:sub v inf v prep pro:dem .,ESP ESP ESP ESP ESP ESP,0
133,on campus ?,prep n ?,ESP ESP,0
134,yo quiero vivir aquí sí porque es chévere .,pro:sub v inf adv co conj cop adj .,ESP ESP ESP ESP ESP ESP ESP ESP,0
135,.,None,,0
136,por qué ?,prep pro:int ?,ESP ESP,0
137,es super cool .,cop n L2 .,ESP ESP ENG,1
138,mira vea tengo de todo .,co v v prep det:indef .,ESP ESP ESP ESP ESP,0
139,tengo un sitio para cortarme el pelo aquí .,v det:art n prep inf det:art v adv .,ESP ESP ESP ESP ESP ESP ESP ESP,0
140,tengo el sitio para lavar la ropa aquí .,v det:art n prep inf det:art n adv .,ESP ESP ESP ESP ESP ESP ESP ESP,0
141,tengo ...,v +...,ESP,0
142,no pero hay solo es dry cleaning .,adv conj v adj cop L2 L2 .,ESP ESP ESP ESP ESP ENG ENG,1
143,cafeteria exactly dry cleaning .,n adv adj part .,ESP ESP ESP ESP,0
144,ah pero tu haces dry clean para toda la ropa ?,co conj det:pos v L2 L2 prep det:indef det:art n ?,ESP ESP ESP ESP ENG ENG ESP ESP ESP ESP,1
145,pero para lavar you get a //.,conj prep inf L2 L2 L2 +//.,ESP ESP ESP ENG ENG ENG,1
146,no pero para cosas así grandes .,adv conj prep v adv adj .,ESP ESP ESP ESP ESP ESP,0
147,pero .,conj .,ESP,0
148,ah .,co .,ESP,0
149,para por ejemplo ropa normal así por aquí debe haber un laundry .,prep prep n n adj adv prep adv v inf det:art L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
150,dónde ?,pro:int ?,ESP,0
151,somewhere .,n .,ESP,0
152,de pronto en los dormitorios .,prep adv prep det:art n .,ESP ESP ESP ESP ESP,0
153,o incluso en los apartamentos .,coord adv prep det:art n .,ESP ESP ESP ESP ESP,0
154,en los dorms they have a laundry room .,prep det:art L2 L2 L2 L2 L2 L2 .,ESP ESP ENG ENG ENG ENG ENG ENG,1
155,ah .,co .,ESP,0
156,I think so .,pro:sub v co .,ESP ESP ESP,0
157,I don't know .,pro:sub mod v .,ESP ESP ESP,0
158,that'd be cool .,rel cop adj .,ESP ESP ESP,0
159,sí .,co .,ESP,0
160,actually yo quiero ir a China .,L2 pro:sub v inf aprep n:prop .,ENG ESP ESP ESP ESP ESP,1
161,y me gustaría .,coord pro:obj v .,ESP ESP ESP,0
162,y vivir allá .,coord inf adv .,ESP ESP ESP,0
163,y enseñar .,coord inf .,ESP ESP,0
164,pero la cosa es que es muchos meses .,conj pro:obj v cop pro:rel cop det:indef n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
165,y como estoy involucrada en la iglesia .,coord adv aux part prep det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
166,pues a veces no me veo como en otro país por más de un meses .,co aprep n adv pro:obj v adv prep pro:indef n prep adv prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
167,por ejemplo .,prep n .,ESP ESP,0
168,you never know .,pro adv v .,ESP ESP ESP,0
169,maybe the Lord sends me over there .,adv det n:prop v pro:obj prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP,0
170,exactly .,adv .,ESP,0
171,porque sí por ejemplo si pues dios te manda para allá .,conj co prep n conj co co pro:obj v prep adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
172,tiene que ser así o sea .,v pro:rel inf adv coord cop .,ESP ESP ESP ESP ESP ESP,0
173,es como hay un yo estaba viendo una película .,cop adv v det:art pro:sub aux ger det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
174,ajá .,co .,ESP,0
175,de un tipo que él vivía en UK .,prep det:art n pro:rel pro:sub v prep n:prop:L2 .,ESP ESP ESP ESP ESP ESP ESP ESP,0
176,ah .,co .,ESP,0
177,and he didn't know to speak Spanish .,conj pro:sub mod v inf v n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
178,y dios le lo despierta una noche .,coord co pro:ind pro:obj v det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
179,y le dice que él tiene que ir a California .,coord pro:ind v pro:rel pro:sub v pro:rel inf aprep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
180,ajá .,co .,ESP,0
181,a California .,aprep n:prop .,ESP ESP,0
182,pero que ahí va a haber una familia que es una familia mexicana .,conj pro:rel adv v aprep inf det:art n pro:rel cop det:art n n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
183,ajá .,co .,ESP,0
184,"y entonces dice ""/.","coord adv v +""/.",ESP ESP ESP,0
185,but I don't know Spanish .,conj pro:sub mod v n:prop .,ESP ESP ESP ESP ESP,0
186,ajá .,co .,ESP,0
187,and he start taking Spanish .,conj pro:sub v n:gerund n:prop .,ESP ESP ESP ESP ESP,0
188,ajá .,co .,ESP,0
189,and learning Spanish .,conj part n:prop .,ESP ESP ESP,0
190,and learning Spanish because he knows that you gotta go there and speak in Spanish .,conj part n:prop conj pro:sub v rel pro mod:aux v adv coord v prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
191,like now like now I'm trying to learn in English because I I mean not English Chinese cause I want to go to China .,v adv v adv pro:sub part inf v prep n:prop conj pro:sub pro:sub v neg n:prop n:prop n pro:sub v inf v prep n:prop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
192,and they have a program of peace corps look .,conj pro:sub v det n prep n n v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
193,of what ?,prep pro:wh ?,ESP ESP,0
194,peace corps .,n n .,ESP ESP,0
195,what is that ?,pro:wh cop pro:dem ?,ESP ESP ESP,0
196,ah peace corps .,co n n .,ESP ESP ESP,0
197,yeah .,co .,ESP,0
198,like volunteering .,prep n:gerund .,ESP ESP,0
199,and they have one in China .,conj pro:sub v pro:indef prep n:prop .,ESP ESP ESP ESP ESP ESP,0
200,and like to teach English .,coord v inf v n:prop .,ESP ESP ESP ESP ESP,0
201,like you volunteer ?,v pro v ?,ESP ESP ESP,0
202,yeah .,co .,ESP,0
203,and they send you there and they //?,conj pro:sub v pro adv coord pro:sub +//?,ESP ESP ESP ESP ESP ESP ESP,0
204,yeah .,co .,ESP,0
205,but they pay for everything .,conj pro:sub v prep pro:indef .,ESP ESP ESP ESP ESP,0
206,all right that's //.,qn n rel +//.,ESP ESP ESP,0
207,they pay for your food .,pro:sub v prep pro:poss:det n .,ESP ESP ESP ESP ESP,0
208,your food your house everything everything .,pro:poss:det n pro:poss:det n pro:indef pro:indef .,ESP ESP ESP ESP ESP ESP,0
209,you're not gonna have a lack in in the area .,L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
210,oh my God I want something like that but in here .,co pro:poss:det n:prop pro:sub v pro:indef prep det conj prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
211,like oh I'm gonna send you to .,co co pro:sub part v pro prep .,ESP ESP ESP ESP ESP ESP ESP,0
212,.,None,,0
213,.,None,,0
214,see like in university English teaching teach the people .,co v prep n n:prop part v det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
215,and I would really love that .,conj pro:sub mod adv v pro:dem .,ESP ESP ESP ESP ESP ESP,0
216,I would do that .,pro:sub mod v pro:dem .,ESP ESP ESP ESP,0
217,you know why would I do that ?,pro v adv:wh mod pro:sub v pro:dem ?,ESP ESP ESP ESP ESP ESP ESP,0
218,just if I when I just graduate .,adv conj pro:sub conj pro:sub adv n .,ESP ESP ESP ESP ESP ESP ESP,0
219,yeah .,co .,ESP,0
220,just for the experience of going somewhere else another country .,adv prep det n prep n:gerund n post qn n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
221,yeah .,co .,ESP,0
222,yeah I would love to do it .,co pro:sub mod v inf v pro .,ESP ESP ESP ESP ESP ESP ESP,0
223,you get the ...,pro v det +...,ESP ESP ESP,0
224,but there's the thing like I'm really like I wanna be involved in the church and stuff .,conj pro:exist det n rel pro:sub adv prep pro:sub v aux part prep det n coord n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
225,and like I feel like I wouldn't be able to leave because of that .,conj co pro:sub v prep pro:sub mod cop adj prep n conj prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
226,but I guess I just pray about it .,conj pro:sub v pro:sub adv v prep pro .,ESP ESP ESP ESP ESP ESP ESP ESP,0
227,the lord knows .,det n v .,ESP ESP ESP,0
228,but that peace corps is what is only for people Chinese or what ?,conj det n n cop pro:wh cop adv prep n n:prop coord pro:wh ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
229,no it's every country .,co pro qn n .,ESP ESP ESP ESP,0
230,oh my God yo quiero ver .,co L2 n:prop:L2 pro:sub v inf .,ESP ENG ESP ESP ESP ESP,1
231,.,None,,0
232,but what do they do there ?,conj pro:wh mod pro:sub v adv ?,ESP ESP ESP ESP ESP ESP,0
233,like //.,co +//.,ESP,0
234,whatever the country needs .,pro:wh det n v .,ESP ESP ESP ESP,0
235,like helping kids .,co part n .,ESP ESP ESP,0
236,taking care of hungers .,part n prep n .,ESP ESP ESP ESP,0
237,building .,n .,ESP,0
238,business .,n .,ESP,0
239,even in businesses .,v prep n .,ESP ESP ESP,0
240,they're helping businesses start build like classrooms .,pro:sub part n n v prep n .,ESP ESP ESP ESP ESP ESP ESP,0
241,oh my God .,co pro:poss:det n:prop .,ESP ESP ESP,0
242,you know what .,pro v pro:wh .,ESP ESP ESP,0
243,all kind of stuff .,qn n prep n .,ESP ESP ESP ESP,0
244,I wanna go .,pro:sub v v .,ESP ESP ESP,0
245,but where do they need people missy ?,conj adv:wh mod pro:sub v n n ?,ESP ESP ESP ESP ESP ESP ESP,0
246,everywhere .,n .,ESP,0
247,oh maths and science teaching .,co n coord n part .,ESP ESP ESP ESP ESP,0
248,I wanna do that .,pro:sub v v pro:dem .,ESP ESP ESP ESP,0
249,maths and science teaching .,n coord n part .,ESP ESP ESP ESP,0
250,where is this thing //.,adv:wh cop det n +//.,ESP ESP ESP ESP,0
251,education experience experience university English teaching .,n n n n n:prop part .,ESP ESP ESP ESP ESP ESP,0
252,special education secondary English .,adj n adj n:prop .,ESP ESP ESP ESP,0
253,it's super cool /.,pro adj adj +/.,ESP ESP ESP,0
254,I wanna go there .,pro:sub v v adv .,ESP ESP ESP ESP,0
255,and community development construction and skills traits education .,coord n n n coord n n n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
256,when I graduate I wanna go there .,conj pro:sub v pro:sub v v adv .,ESP ESP ESP ESP ESP ESP ESP,0
257,like Rome or no sé .,L2 n:prop:L2 L2 adv v .,ENG ESP ENG ESP ESP,1
258,I would like to go to China Thailand and ...,pro:sub mod v inf v prep n:prop n:prop coord +...,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
259,Macedonia .,n:prop .,ESP,0
260,oh my goodness .,co pro:poss:det n .,ESP ESP ESP,0
261,I wanna go no Armenia no .,pro:sub v v co n:prop co .,ESP ESP ESP ESP ESP ESP,0
262,yo quiero ...,pro:sub v +...,ESP ESP,0
263,oh Mozambique .,co n:prop .,ESP ESP,0
264,ahí hay un orfanato en Mozambique .,adv v det:art n prep n:prop .,ESP ESP ESP ESP ESP ESP,0
265,y súper chévere .,coord n adj .,ESP ESP ESP,0
266,puedes ir a volunteer allá .,v inf aprep L2 adv .,ESP ESP ESP ENG ESP,1
267,es súper chévere .,cop n adj .,ESP ESP ESP,0
268,yo quiero ir .,pro:sub v inf .,ESP ESP ESP,0
269,todas esas cosas me encantan .,det:indef det:dem n pro:obj v .,ESP ESP ESP ESP ESP,0
270,mi amiga fue a Ukraine por un ...,det:pos n v aprep n:prop:L2 prep det:art +...,ESP ESP ESP ESP ESP ESP ESP,0
271,bueno iba todos los veranos por cuarenta y cinco días .,co v det:indef det:art n prep det:num coord det:num n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
272,but I'm not in here .,conj pro:sub neg prep pro:dem .,ESP ESP ESP ESP ESP,0
273,cómo ?,pro:int ?,ESP,0
274,I'm not in .,pro:sub neg adv .,ESP ESP ESP,0
275,what do you mean ?,pro:wh mod pro v ?,ESP ESP ESP ESP,0
276,Venezuela is not there .,n:prop aux neg adv .,ESP ESP ESP ESP,0
277,no .,co .,ESP,0
278,no entran a Venezuela por la situación política me imagino .,adv v aprep n:prop prep det:art n n pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
279,no we don't need help .,co pro:sub mod v co .,ESP ESP ESP ESP ESP,0
280,probably they think that the president says .,adv pro:sub v rel det n v .,ESP ESP ESP ESP ESP ESP ESP,0
281,oh it's okay .,co pro adj .,ESP ESP ESP,0
282,la mayoría van a África wow .,det:art n v aprep n:prop L2 .,ESP ESP ESP ESP ESP ENG,1
283,yeah exactly .,co adv .,ESP ESP,0
284,thirty seven percent it's a lot of people .,det:num det:num n pro det n prep n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
285,porque hay una necesidad grande en África .,conj v det:art n adj prep n:prop .,ESP ESP ESP ESP ESP ESP ESP,0
286,.,None,,0
287,the Caribbean is like not much and and in Latin_America are the top ones .,det n:prop cop prep neg adv conj conj prep n:prop cop det n pro:indef .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
288,but I would go oh my God Guatemala ?,conj pro:sub mod v co pro:poss:det n:prop n:prop ?,ESP ESP ESP ESP ESP ESP ESP ESP,0
289,yeah .,co .,ESP,0
290,I would go there just for the thing /.,pro:sub mod v adv adv prep det n +/.,ESP ESP ESP ESP ESP ESP ESP ESP,0
291,it's cool .,pro adj .,ESP ESP,0
292,I went to Guatemala .,pro:sub v prep n:prop .,ESP ESP ESP ESP,0
293,just for going to Machu_Picchu and all stuff .,adv prep n:gerund prep n:prop coord qn n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
294,yeah .,co .,ESP,0
295,Machu_Picchu is in Guatemala right ?,n:prop cop prep n:prop n ?,ESP ESP ESP ESP ESP,0
296,the ruins //.,det n +//.,ESP ESP,0
297,I don't know .,pro:sub mod v .,ESP ESP ESP,0
298,I don't know either .,pro:sub mod v adv .,ESP ESP ESP ESP,0
299,I went to Guatemala as a city .,pro:sub v prep n:prop conj det n .,ESP ESP ESP ESP ESP ESP ESP,0
300,and I went to lake Alitlán with the volcanos are .,conj pro:sub v prep n n:prop prep det n cop .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
301,and other people .,conj qn n .,ESP ESP ESP,0
302,that was really cool .,pro:dem cop adv adj .,ESP ESP ESP ESP,0
303,"pero en la iglesia la gente nos decían ""/.","conj prep det:art n det:art n pro:obj v +""/.",ESP ESP ESP ESP ESP ESP ESP ESP,0
304,no te pares porque la gente era tan pequeña .,adv pro:obj v conj pro:obj n cop adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
305,ajá .,co .,ESP,0
306,que si porque //.,pro:rel conj conj +//.,ESP ESP ESP,0
307,iglesia es bien tradicionales allá .,n cop adv adj adv .,ESP ESP ESP ESP ESP,0
308,donde la gente se para .,pro:rel det:art n cop prep .,ESP ESP ESP ESP ESP,0
309,aleluya .,co .,ESP,0
310,"entonces cuando nos parábamos nos decían ""/.","co conj pro:obj v pro:obj v +""/.",ESP ESP ESP ESP ESP ESP,0
