,sentence,pos,language,switch
31,pero yo no creo que eso sea mucho speed bump .,conj pro:sub adv v pro:rel pro:dem cop adv L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
32,bueno .,co .,ESP,0
33,eso más bien yo creo que lo que va a hacer es como un adorno pero .,pro:dem adv adv pro:sub v pro:rel pro:obj pro:rel v aprep inf cop adv det:art v conj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
34,baja la velocidad ahí ?,v det:art n adv ?,ESP ESP ESP ESP,0
35,pero la calle no la van a hacer no ?,conj pro:obj v adv pro:obj v aprep inf adv ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
36,sí la van a asfaltar /.,co pro:obj v aprep inf +/.,ESP ESP ESP ESP ESP,0
37,pero es que yo no entiendo .,conj cop pro:rel pro:sub adv v .,ESP ESP ESP ESP ESP ESP,0
38,porque primero se asfalta antes de poner la hierba .,conj adv pro:refl v adv prep inf det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
39,bueno .,co .,ESP,0
40,no que yo sepa .,adv pro:rel pro:sub v .,ESP ESP ESP ESP,0
41,sí sí sí no tienes razón .,co co co adv v n .,ESP ESP ESP ESP ESP ESP,0
42,el asfalto era /.,det:art adj cop +/.,ESP ESP ESP,0
43,están gastando doble dinero ahí .,aux ger n n adv .,ESP ESP ESP ESP ESP,0
44,el asfalto era para que lo hubieran hecho primero .,det:art adj cop prep pro:rel pro:obj v v adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
45,hubieran limpiado todos los leftovers de asfalto y toda esa cosa .,v part det:indef det:art L2 v adj coord det:indef det:dem v .,ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP,1
46,entonces después haber sembrado la hierba .,adv adv inf part det:art n .,ESP ESP ESP ESP ESP ESP,0
47,haber recogido .,inf re#part .,ESP ESP,0
48,limpiado .,part .,ESP,0
49,y ya acabado y eso .,coord adv part coord pro:dem .,ESP ESP ESP ESP ESP,0
50,pero bueno ellos tendrán su idea .,conj co pro:sub v det:pos v .,ESP ESP ESP ESP ESP ESP,0
51,y el parquecito viste que van a hacer ?,coord det:art n v pro:rel v aprep inf ?,ESP ESP ESP ESP ESP ESP ESP ESP,0
52,aquí atrás ?,adv adv ?,ESP ESP,0
53,el parquecito .,det:art n .,ESP ESP,0
54,no no me he fijado .,adv adv pro:obj aux part .,ESP ESP ESP ESP ESP,0
55,no viste que te mandaron una hoja hoy con todo lo del meeting ?,adv v pro:rel pro:obj v det:art n adv prep pro:indef pro:obj prep L2 ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
56,no no no estaba en la puerta .,adv adv adv cop prep det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
57,cuando salimos que nos íbamos para el bicycle shop .,conj v pro:rel pro:obj v prep det:art L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ENG ENG,1
58,mhm .,L2 .,ENG,0
59,estaba puesto en la puerta y yo lo tiré para dentro de la casa y nos fuimos .,aux part prep det:art n coord pro:sub pro:obj v prep adv prep det:art n coord pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
60,y ahora ya vi que lo había sacado de la maleta .,coord adv adv v pro:rel pro:obj aux part prep det:art adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
61,pero no me he fijado qué cosa hay dentro .,conj adv pro:obj aux part pro:int n v adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
62,.,None,,0
63,y está rico el tiempo .,coord cop adj det:art n .,ESP ESP ESP ESP ESP,0
64,it's beautiful .,pro adj .,ESP ESP,0
65,mhm mhm mhm .,L2 L2 L2 .,ENG ENG ENG,0
66,está tan lindo .,cop adv adj .,ESP ESP ESP,0
67,sí .,co .,ESP,0
68,.,None,,0
69,esta terraza déjame decirte que vale el precio de la casa .,det:dem n imp inf pro:rel co det:art n prep det:art imp .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
70,espacio .,n .,ESP,0
71,y eso que no la has puesto en una cómo se llama esto una un hammock de esos .,coord pro:dem pro:rel adv pro:obj aux part prep pro:dem pro:int pro:refl v pro:dem pro:dem det:art L2 prep det:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP,1
72,una hamaca ?,det:art n ?,ESP ESP,0
73,una hamaca .,det:art n .,ESP ESP,0
74,no .,adv .,ESP,0
75,no te ha dado por eso ?,adv pro:obj aux part prep pro:dem ?,ESP ESP ESP ESP ESP ESP,0
76,ahí mira entre las dos palmas las puede poner ahí .,adv v prep det:art det:num n pro:obj v inf adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
77,ahí se pudiera poner sí .,adv pro:refl v inf co .,ESP ESP ESP ESP ESP,0
78,yo tengo una que cada vez que nos vamos camping we take it .,pro:sub v det:art prep det:indef n pro:rel pro:obj v L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
79,and I set it up in the campground .,conj pro:sub v pro adv prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
80,pero no aquí no se nos ha ocurrido como aquí lo que pasa es que the ground in the back it's slanted .,conj adv adv adv pro:refl pro:obj aux part adv adv pro:obj pro:rel v cop pro:rel L2 L2 L2 L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG,1
81,yeah .,co .,ESP,0
82,it's not even .,pro neg adv .,ESP ESP ESP,0
83,so that's something to ...,co pro:dem pro:indef inf +...,ESP ESP ESP ESP,0
84,pero sí se pudieran poner un par de tubos o algo so we could install the hammock .,conj co pro:refl v inf det:art n prep n coord pro:dem L2 L2 L2 L2 L2 L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG,1
85,this is great back here .,pro:dem cop adj adv adv .,ESP ESP ESP ESP ESP,0
86,mhm yeah .,L2 L2 .,ENG ENG,0
87,and this month that is pretty cool .,conj det n rel aux adv adj .,ESP ESP ESP ESP ESP ESP ESP,0
88,it's really really nice .,pro adv adv adj .,ESP ESP ESP ESP,0
89,when it gets to July and August it gets hot .,conj pro v prep n:prop coord n:prop pro v adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
90,you gotta wait until almost the end of the day .,pro mod:aux v prep adv det n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
91,that starts cooling off a little bit to be out here .,rel v n:gerund prep det adj n prep cop adv adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
92,at three thirty four o'clock it's fine .,prep det:num det:num det:num n pro adj .,ESP ESP ESP ESP ESP ESP ESP,0
93,ah but thank God you don't have to worry about a pool .,co conj v n:prop pro mod v prep n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
94,bueno we /.,co L2 +/.,ESP ENG,1
95,because pools are good for when you have smaller kids but already .,conj n cop adj prep conj pro v adj n conj adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
96,they don't even wanna jump in it .,pro:sub mod adv v n prep pro .,ESP ESP ESP ESP ESP ESP ESP,0
97,eh we had a hard time finding the house .,co L2 L2 L2 L2 L2 L2 L2 L2 .,ESP ENG ENG ENG ENG ENG ENG ENG ENG,1
98,because we were looking for a house in Miami Lakes on the lake without the pool .,conj pro:sub aux part prep det n prep n:prop n:prop prep det n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
99,and that made it very difficult in nineteen ninety eight when we bought here finding that .,coord rel v pro adv adj prep det:num det:num det:num conj pro:sub v adv part rel .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
100,we couldn't find it .,pro:sub mod v pro .,ESP ESP ESP ESP,0
101,we couldn't find any house /.,pro:sub mod v qn n +/.,ESP ESP ESP ESP ESP,0
102,most of the houses have pool .,qn prep det n v n .,ESP ESP ESP ESP ESP ESP,0
103,they all have pools .,pro:sub post v n .,ESP ESP ESP ESP,0
104,and then we came across this one .,conj adv:tem pro:sub v prep det pro:indef .,ESP ESP ESP ESP ESP ESP ESP,0
105,.,None,,0
106,que la estaban vendiendo desde abril .,pro:rel pro:obj aux ger prep n .,ESP ESP ESP ESP ESP ESP,0
107,el viejito se había muerto .,det:art adj pro:refl aux part .,ESP ESP ESP ESP ESP,0
108,la estaban vendiendo desde abril .,pro:obj aux ger prep n .,ESP ESP ESP ESP ESP,0
109,ya yo me recuerdo .,adv pro:sub pro:obj v .,ESP ESP ESP ESP,0
110,habían bajado el precio un viaje .,aux part det:art n det:art v .,ESP ESP ESP ESP ESP ESP,0
111,y entonces como en agosto que nosotros encontramos la casa habían vuelto a bajar el precio .,coord adv adv prep n prep pro:sub v det:art n aux part aprep inf det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
112,y entonces negociamos con la hija de Lucía la señora que vive aquí .,coord adv v prep det:art n prep n:prop det:art n pro:rel v adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
113,mhm .,L2 .,ENG,0
114,and we got it pero .,L2 L2 L2 L2 conj .,ENG ENG ENG ENG ESP,1
115,a house on the lake without a pool is almost impossible to find .,det n prep det n prep det n aux adv adj inf v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
116,but you've done a lot to this house .,conj pro part det n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
117,mhm yeah .,L2 L2 .,ENG ENG,0
118,you have done so much .,pro v part adv qn .,ESP ESP ESP ESP ESP,0
119,it's incredible .,pro in#adj .,ESP ESP,0
120,yeah .,co .,ESP,0
121,y ahora vamos a hacerle el baño .,coord adv v aprep inf det:art v .,ESP ESP ESP ESP ESP ESP ESP,0
122,yeah .,co .,ESP,0
123,porque el baño está el baño original .,conj det:art n cop det:art n adj .,ESP ESP ESP ESP ESP ESP ESP,0
124,eh we are gonna redo the bathroom .,co L2 L2 L2 L2 L2 L2 .,ESP ENG ENG ENG ENG ENG ENG,1
125,ah my idea originally was just to leave the tub .,co L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
126,y change everything else .,coord L2 L2 L2 .,ESP ENG ENG ENG,1
127,pero ahora the new idea is gonna be that we are gonna to replace everything .,conj adv L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
128,change /.,n +/.,ESP,0
129,make it a shower .,v pro det n .,ESP ESP ESP ESP,0
130,you don't like showers ?,pro mod v n ?,ESP ESP ESP ESP,0
131,no we are gonna put a tub but a new tub .,co pro:sub aux part v det n conj det adj n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
132,oh okay .,co co .,ESP ESP,0
133,because it's gonna be very hard to leave an old tub .,conj pro part aux adv adv prep n det adj n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
134,and then match everything else to the old tub .,conj adv:tem v pro:indef post prep det adj n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
135,so kind of a ...,adv adj prep det +...,ESP ESP ESP ESP,0
136,we are gonna redo the whole thing .,pro:sub aux part re#v det n n .,ESP ESP ESP ESP ESP ESP ESP,0
137,quitar las paredes poner los dry walls esos nuevos .,inf det:art n inf det:art L2 L2 det:dem adj .,ESP ESP ESP ESP ESP ENG ENG ESP ESP,1
138,que no deja que no asome la humedad .,pro:rel adv v pro:rel adv v det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
139,humidity .,n .,ESP,0
140,que ah eh eh son como waterproof .,pro:rel co co co cop adv L2 .,ESP ESP ESP ESP ESP ESP ENG,1
141,mhm .,L2 .,ENG,0
142,y entonces también .,coord adv adv .,ESP ESP ESP,0
143,eh llevan las losas los ladrillos los ...,co v det:art n det:art n pro:obj +...,ESP ESP ESP ESP ESP ESP ESP,0
144,para arriba .,prep adv .,ESP ESP,0
145,hasta arriba hasta el techo .,prep adv prep det:art n .,ESP ESP ESP ESP ESP,0
146,y aquí antes was half way .,coord adv adv L2 L2 L2 .,ESP ESP ESP ENG ENG ENG,1
147,sí ahora están eh más o menos al nivel de la ventana .,co adv aux co adv coord adv aprep n prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
148,.,None,,0
149,mhm .,L2 .,ENG,0
150,y hay lugares que alrededor del inodoro que están bajitos bajitos .,coord v n pro:rel adv prep n pro:rel cop adj adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
151,entonces llevarlo hasta arriba .,adv inf prep adv .,ESP ESP ESP ESP,0
152,después que hagamos uno posiblemente hagamos el otro .,adv pro:rel v det:art adv:adj imp det:art pro:indef .,ESP ESP ESP ESP ESP ESP ESP ESP,0
153,y ya entonces ahora quiero eh los the sprinkler system arreglarlos y ...,coord adv adv adv v co det:art L2 L2 L2 inf coord +...,ESP ESP ESP ESP ESP ESP ESP ENG ENG ENG ESP ESP,1
154,empezar por retirarnos .,inf prep re#inf .,ESP ESP ESP,0
155,.,None,,0
156,hoy fuimos a ver un camper un r_v .,adv v aprep inf det:art L2 det:art n:prop .,ESP ESP ESP ESP ESP ENG ESP ESP,1
157,yeah .,co .,ESP,0
158,sí .,co .,ESP,0
159,sí porque este the one we have is nice .,co conj imp L2 L2 L2 L2 L2 L2 .,ESP ESP ESP ENG ENG ENG ENG ENG ENG,1
160,but it's fairly small .,conj pro adv adj .,ESP ESP ESP ESP,0
161,and when you get to the place you have to actually put it up .,conj conj pro v prep det n pro v inf adv v pro adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
162,up .,adv .,ESP,0
163,and open it and put it together .,coord v pro coord v pro adv .,ESP ESP ESP ESP ESP ESP ESP,0
164,the other one no .,det qn pro:indef co .,ESP ESP ESP ESP,0
165,the other one everything is in place .,det qn pro:indef pro:indef cop prep n .,ESP ESP ESP ESP ESP ESP ESP,0
166,you just get there .,pro adv v adv .,ESP ESP ESP ESP,0
167,and press the button .,conj v det n .,ESP ESP ESP ESP,0
168,press the .,n det .,ESP ESP,0
169,right .,co .,ESP,0
170,and /.,conj +/.,ESP,0
171,and everything opens up .,coord pro:indef v adv .,ESP ESP ESP ESP,0
172,you don't even have mhm /.,L2 L2 L2 L2 L2 +/.,ENG ENG ENG ENG ENG,0
173,my friend has an r_v .,pro:poss:det n v det n:prop .,ESP ESP ESP ESP ESP,0
174,it's beautiful .,pro adj .,ESP ESP,0
175,oh my god it looks like a house .,co L2 L2 L2 L2 L2 L2 L2 .,ESP ENG ENG ENG ENG ENG ENG ENG,1
176,mhm .,L2 .,ENG,0
177,mhm .,L2 .,ENG,0
178,but it's big .,conj pro adj .,ESP ESP ESP,0
179,you know .,pro v .,ESP ESP,0
180,mhm .,L2 .,ENG,0
181,and he takes it with him .,conj pro:sub v pro prep pro:obj .,ESP ESP ESP ESP ESP ESP,0
182,I mean it's wow .,pro:sub v pro co .,ESP ESP ESP ESP,0
183,he presses the button .,pro:sub v det n .,ESP ESP ESP ESP,0
184,mhm .,L2 .,ENG,0
185,that whole thing like opens up .,det n n rel v adv .,ESP ESP ESP ESP ESP ESP,0
186,it's got a master bedroom .,pro part det n n .,ESP ESP ESP ESP ESP,0
187,yeah .,co .,ESP,0
188,and a ...,conj det +...,ESP ESP,0
189,mhm .,L2 .,ENG,0
190,and two other bedrooms with a bathroom pretty big .,coord det:num qn n prep det n adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
191,mhm .,L2 .,ENG,0
192,I mean it's really nice .,pro:sub v pro adv adj .,ESP ESP ESP ESP ESP,0
193,mhm .,L2 .,ENG,0
194,the kitchen is beautiful .,det n cop adj .,ESP ESP ESP ESP,0
195,yeah .,co .,ESP,0
196,yeah .,co .,ESP,0
197,flat screen tvs I mean he's got it ...,adj n n pro:sub v pro:sub part pro +...,ESP ESP ESP ESP ESP ESP ESP ESP,0
198,mhm .,co .,ESP,0
199,yeah .,co .,ESP,0
200,because he likes to go to the Keys a lot .,conj pro:sub v inf v prep det n:prop det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
201,yah the Keys are getting very /.,co det n:prop aux part adv +/.,ESP ESP ESP ESP ESP ESP,0
202,expensive .,adj .,ESP,0
203,right difficult expensive and difficult with .,adv adj adj coord adj prep .,ESP ESP ESP ESP ESP ESP,0
204,it's very hard to find a camping spot over there .,pro adv adj inf v det part n prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
205,space now .,n adv .,ESP ESP,0
206,yeah because what they do is they build now on them instead of .,co conj pro:wh pro:sub v cop pro:sub v adv prep pro:obj adv prep .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
207,right they close them .,co pro:sub v pro:obj .,ESP ESP ESP ESP,0
208,they close American_Outdoors they close a bunch of them .,pro:sub adj n:prop pro:sub v det n prep pro:obj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
209,yes because people are making money selling the property so .,co conj n aux part n part det n adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
210,mhm .,L2 .,ENG,0
211,yeah .,co .,ESP,0
212,they don't make as much renting as they do selling .,pro:sub mod v prep qn part conj pro:sub v part .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
213,yeah .,co .,ESP,0
214,and the campgrounds were beautiful places to build on .,conj det n cop adj n inf v adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
215,because they were huge pieces of property a lot of them right on the ocean on the water .,conj pro:sub cop adj n prep n det n prep pro:obj adv prep det n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
216,so you know it was a good deal .,co pro v pro cop det adj n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
217,yes .,co .,ESP,0
218,so they closed them .,conj pro:sub v pro:obj .,ESP ESP ESP ESP,0
219,.,None,,0
220,American_Outdoors was a beautiful place .,n:prop cop det adj n .,ESP ESP ESP ESP ESP,0
221,and they just closed it down .,conj pro:sub adv v pro adv .,ESP ESP ESP ESP ESP ESP,0
222,mhm .,L2 .,ENG,0
223,wow .,co .,ESP,0
224,mhm .,L2 .,ENG,0
225,viste /.,v +/.,ESP,0
226,oh look at the little /.,co L2 L2 L2 L2 +/.,ESP ENG ENG ENG ENG,1
227,la coneja de Pepita .,det:art n prep n:prop .,ESP ESP ESP ESP,0
228,es una conejita ?,cop det:art n ?,ESP ESP ESP,0
229,Cleopatra yeah .,n:prop L2 .,ESP ENG,1
230,yeah that's .,co pro:dem .,ESP ESP,0
231,oh my god .,co L2 L2 .,ESP ENG ENG,1
232,when Pepita moved to Tampa she acquired the rabbit .,L2 n:prop L2 L2 n:prop L2 L2 L2 L2 .,ENG ESP ENG ENG ESP ENG ENG ENG ENG,1
233,y that was her companion .,coord L2 L2 L2 L2 .,ESP ENG ENG ENG ENG,1
234,is it a miniature ?,aux pro det n ?,ESP ESP ESP ESP,0
235,no .,co .,ESP,0
236,it's a Dutch ...,pro det n:prop +...,ESP ESP ESP,0
237,no .,co .,ESP,0
238,I don't know something Dutch .,pro:sub mod v pro:indef n:prop .,ESP ESP ESP ESP ESP,0
239,.,None,,0
240,ay how pretty .,co L2 L2 .,ESP ENG ENG,1
241,mhm .,L2 .,ENG,0
242,I have a friend of mine that has two miniature rabbits .,pro:sub v det n prep pro:poss rel v det:num n n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
243,yeah .,co .,ESP,0
244,he keep he has them as pets .,pro:sub v pro:sub aux pro:obj prep n .,ESP ESP ESP ESP ESP ESP ESP,0
245,and they are little .,conj pro:sub cop adj .,ESP ESP ESP ESP,0
246,mhm .,L2 .,ENG,0
247,they don't grow much .,pro:sub mod v qn .,ESP ESP ESP ESP,0
248,yeah .,co .,ESP,0
249,.,None,,0
250,esta she got it .,det:dem L2 L2 L2 .,ESP ENG ENG ENG,1
251,and I have another doctor over there that has a miniature pig .,conj pro:sub v qn n adv adv rel v det n n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
252,yeah .,co .,ESP,0
253,that's the daughter's pet .,pro:dem det n n .,ESP ESP ESP ESP,0
254,it's a pig .,pro det n .,ESP ESP ESP,0
255,that that real real pig los los los with with a big belly ?,L2 L2 L2 L2 L2 det:art det:art det:art L2 L2 L2 L2 L2 ?,ENG ENG ENG ENG ENG ESP ESP ESP ENG ENG ENG ENG ENG,1
256,mhm but the little ones the miniature ones .,L2 L2 L2 L2 L2 L2 L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG,0
257,yeah .,co .,ESP,0
258,yeah .,co .,ESP,0
259,how cute .,adv:wh adj .,ESP ESP,0
260,everybody has their own pet .,pro:indef v pro:poss:det adj n .,ESP ESP ESP ESP ESP,0
261,mhm .,L2 .,ENG,0
262,how is everything at the hospital ?,adv:wh aux pro:indef prep det n ?,ESP ESP ESP ESP ESP ESP,0
263,good .,adj .,ESP,0
264,sí ?,co ?,ESP,0
265,it's busy but it's good .,pro v conj pro adj .,ESP ESP ESP ESP ESP,0
266,mhm .,L2 .,ENG,0
267,you know they have more work less people .,pro v pro:sub v qn n adj n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
268,yeah and less money .,co coord adj n .,ESP ESP ESP ESP,0
269,every yeah because you have to work double so .,qn co conj pro v prep n adv adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
270,yeah .,co .,ESP,0
271,yeah yeah we've been three years without a raise .,co co pro:sub cop det:num n prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
272,because /.,conj +/.,ESP,0
273,I mean what we do is they give us like a raise I mean is it depends on how much you make .,pro:sub v pro:wh pro:sub v cop pro:sub v pro:obj prep det n pro:sub v aux pro v prep adv:wh qn pro v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
274,but basically what it does is then every year they put up the insurances so high .,conj adv pro:wh pro mod aux adv:tem qn n pro:sub v prep det n adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
275,mhm .,L2 .,ENG,0
276,that the little money that you are making /.,rel det adj n rel pro aux part +/.,ESP ESP ESP ESP ESP ESP ESP ESP,0
277,they take it away .,pro:sub v pro adv .,ESP ESP ESP ESP,0
278,it's they take it away with the insurance so really you are not seeing much .,pro pro:sub v pro adv prep det n adv adv pro aux neg part qn .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
279,sí .,co .,ESP,0
280,it's just like there's no raise .,pro adj rel pro:exist qn n .,ESP ESP ESP ESP ESP ESP,0
281,así mismo nos pasa a nosotros .,adv adj pro:obj v aprep pro:sub .,ESP ESP ESP ESP ESP ESP,0
282,you know .,pro v .,ESP ESP,0
283,and I'm the one that pays the insurance because my husband's insurance is much more expensive .,conj pro:sub det pro:indef rel v det n conj pro:poss:det n n aux adv adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
284,that's it yeah .,pro:dem pro co .,ESP ESP ESP,0
285,yeah because since I work for you know they have a lot more .,co conj conj pro:sub v prep pro v pro:sub v det n pro:indef .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
286,yeah .,co .,ESP,0
287,so you know it's ...,conj pro v pro +...,ESP ESP ESP ESP,0
288,mhm .,L2 .,ENG,0
289,insurance is cheaper but still .,n aux adj conj n .,ESP ESP ESP ESP ESP,0
290,sí .,co .,ESP,0
291,ahora one advantage I have is that Pepita since she is working for the county she's gonna be independent .,adv L2 L2 n:prop:L2 L2 L2 L2 n:prop L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 .,ESP ENG ENG ESP ENG ENG ENG ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
