,sentence
743,I have to go home whatever .
744,"so I'm like ""/."
745,I'll take work home .
746,I didn't tell them that .
747,yeah .
748,so on Monday I won't be behind .
749,do they pay you more for taking work home or no ?
750,no .
751,and I don't tell them what I do .
752,because ...
753,yeah .
754,se la hace costumbre .
755,yeah .
756,.
757,and they'll expect me to do it every weekend or something .
758,yeah .
759,and I think she's kinda noticing that all of us are just fed up with the whole situation .
760,who the lady Raquel ?
761,mhm .
762,and that we're sick of it .
763,there's so much drama .
764,you don't need much contact with all this stress and deadlines .
765,we don't need it .
766,you don't need additional ...
767,no .
768,stress .
769,I mean the job's stressful enough .
770,I don't need to add to it .
771,and that's what she does .
772,we fell down on like review like two weeks ago .
773,I guess she's asking for our bonuses .
774,they don't do that thing where you can review her ?
775,I think we do .
776,I don't know when they're gonna you know cuando nos yeah .
777,it could be anonymous .
778,no and it's not anonymous .
779,well she's a bitch .
780,.
781,and she's bipolar .
782,did the guy leave that guy that she was ...
783,no he's still there !
784,I thought he was leaving to New_York you said or something .
785,they haven't mentioned it again .
786,I don't know .
787,sometimes I think that it would be best .
788,but sometimes I think it wouldn't .
789,because when he's around she's like you know ...
790,in a better mood ?
791,yeah she doesn't bother us .
792,she's not like on our back every five minutes .
793,is it done yet ?
794,that's annoying .
795,thank god it wasn't me .
796,we had our morning meeting whatever .
797,we went to the office Mari //.
798,and Maricarmen had to do you know .
799,she had an assignment that day .
800,and no habían pasado diez minutos .
801,and she calls .
802,"and she's like ""/."
803,ya les puedo ver ?
804,"Maricarmen was like ""/."
805,acabo de comenzar .
806,they don't know what it's like to do the work .
807,that's why they ask so much and they ...
808,like it happens to me sometimes at work it's like .
809,you know they give me something .
810,they don't even .
811,sometimes they don't understand that it's a lot of coordinating and a lot of you know flipping back and forth .
812,"and they're like ""/."
813,oh can you have it by tomorrow ?
814,"and I'm like ""/."
815,no !
816,you know I can try .
817,but I'm not gonna lie to you and tell you that it's possible .
818,mhm .
819,because well there's just me alone .
820,and it's because they maybe once did it .
821,or now they forgot you know that it takes so long how time consuming it is .
822,or it turns out they've never done it so ...
823,"Leticia told her one day ""/."
824,one day you should just sit with one of us .
825,and you know sit down .
826,and actually take your time .
827,and see how long it takes to draw something .
828,that's the only problem with my boss .
829,she's ...
830,the people that actually the parties that I work with the school parties my team ...
831,mhm .
832,they're really good .
833,because like I had to do something for like the bathrooms right .
834,mhm .
835,and I had to select tiles .
836,and yes it sounds very easy .
837,but it's a lot of time consuming .
838,because ...
839,yeah .
840,it's very time consuming because they give you a board with different price ranges .
841,.
842,there's group one two three and four and five .
843,five being the most expensive .
844,mhm .
845,"and then in the specs like which is part of your contract you tell them you know ""/."
846,price group one and two are the cheapest .
847,you're gonna use maybe fifty five percent thirty five percent of that .
848,and then the most expensive one group four you use five percent .
849,so I have to make sure that what I'm using has been assigned to the bathroom in that percentage .
850,you know how long ..?
851,I mean it takes a lot .
852,and then in addition to that /.
853,yeah .
854,I have to coordinate that with flooring and you know the other interior finishes .
855,I mean there's a lot of work .
856,and I started sketching and this and that .
857,"so when I told my boss I'm like ""/."
858,I'm sorry look I know it's taking a long time it's like I'm just you know lollygagging .
859,"but she said ""/."
860,no no .
861,"she's like ""/."
862,I'm not questioning your you know just whatever .
863,but I wanna get them right once .
864,because thank god when we submitted the drawings we didn't ask like the tile yet .
865,mhm .
866,what we were gonna price out in the contractor didn't price it .
867,so now when we're submitting these new drawings the work is coming out more expensive now .
868,but it wasn't our fault .
869,it was that he ...
870,mhm .
871,he didn't bid it correctly .
872,"so the contractor comes to us and he's like ""/."
873,oh you know you guys use this and that .
874,"and I'm like ""/."
875,no !
876,"and I stopped him right then and there and I printed out all the drawings and I'm like ""/."
877,I know what I did .
878,I worked on this for a month and a half .
879,you know I know I mean I ...
880,yeah .
881,memorized the color line and the numbers and everything it's you know .
882,.
883,and at the end we were right .
884,"so I'm like ""/."
885,I'm glad that I took so much time to do that .
886,because now at the end it avoids error .
887,do they expect us ...
888,I mean no I mean we pulled it off I don't know how .
889,did you think like projects en un día ?
890,Lauren .
891,and then ...
892,but I told her I'm like .
893,te quieren tener como los chinos eh ?
894,yeah we're like a little sweatshop !
895,the other day the AC was messed up .
896,it's messed up .
897,and I dunno when they're gonna fix it .
898,in your building ?
899,in our office .
900,all right .
901,"we were like ""/."
902,todos estamos con un calor and working .
903,and we had that .
904,"and we're like ""/."
905,I'm sure this is like .
906,como unos chinitos ahí trabajan .
907,it's crazy .
908,we were watching something about that .
909,on Dateline last Friday .
910,.
911,you don't watch that .
912,about China ?
913,no Taiwan .
914,Nike ...
915,uhhuh .
916,for an eighty five dollar pair of shoes that they have they pay one factory twenty dollars .
917,yeah .
918,one factory .
919,and within that they divide it within the employees .
920,the most an employee who works there makes there is two dollars .
921,yeah .
922,eso es un pegado .
923,I was like how much ?
924,OB I met when I went no it was in China .
925,we went to this place where they give massages and stuff .
926,uhhuh .
927,and one of the guys told us that a week they make five dollars .
928,we used to //.
929,do you remember my dad's neighbors ?
930,no mentirado that was a day one five dollars .
931,my dad's old neighborhood ?
932,the people that lived ...
933,there was some Puerto_Rican couple that lived here .
934,there were unos chinos que vivían aquí .
935,uhhuh .
936,you don't remember them .
937,they were from Taiwan .
938,the father did that .
939,he did it he was in the tennis shoes business .
940,mhm .
941,and he used to come in with all these shoes .
942,"and he used to be like ""/."
943,look this is Nike .
944,se ve it doesn't have the Nike check on it .
945,uhhuh .
946,and he used to wear them .
947,and it's the same thing in my eyes .
948,yeah .
949,and he used to get my dad like tennis shoes y todo to play tennis .
950,uhhuh .
951,it's like it's the same thing .
952,"he's like ""/."
953,la única cosa es que no te pagan .
954,no tienes que pagar mucho porque no ...
955,you don't have the check .
956,no .
957,you know the Nike check on it .
958,you know what I did learn ?
959,.
960,I guess they have tests and stuff .
961,pero to test if like jewelry has like lead and stuff .
962,mhm .
963,they bang it against you know the floor or a surface .
964,a surface uhhuh .
965,and depending on el sonido .
966,uhhuh .
967,tiene lead or no .
968,and we were testing some things that we had bought from Chico's .
969,it was like forty five dollar you know bracelets and stuff like that .
970,and all of them had lead .
971,had lead ?
972,how can you tell the difference //.
973,like you compare two sounds ?
974,or you automatically know .
975,yeah .
976,like get one of your rings or something that's like gold or something or stainless steel .
977,like costume jewelry ?
978,something like that and just go like that .
979,mhm .
980,and get something you've bought .
981,and you you know something you wanna see if it has lead .
982,and it usually has like a heavier pounding sound .
983,and the other sound is very light .
984,so the lead is the heavier one obviously .
985,mhm .
986,and we tested it and .
987,"Maricarmen is like ""/."
988,let me see !
989,and she has like very nice ring .
990,the different types of gold ...
991,Maricarmen the lady we saw the other day in the park ?
992,no that's Juana .
993,oh oh yeah .
994,and she starts like banging it .
995,and it's a very light sound .
996,and then we got one of the accessories that we had bought .
997,and she the same thing .
998,and you could hear .
999,like it's heavy sound .
1000,why do they use lead ?
1001,because it's a cheaper material ?
1002,anyway it's more ...
1003,what do they use in of that ?
1004,.
1005,my god that's bad .
1006,you can ...
1007,yeah .
1008,ahí mismo .
1009,people I know some people that can't .
1010,that are allergic ?
1011,I remember había uno hindú or something that came to .
1012,uhhuh .
1013,and I was gonna give the girl it was a plastic pen to sign it .
1014,and she couldn't touch the plastic .
1015,why ?
1016,she said that her whole skin breaks out in allergies .
1017,with plastic ?
1018,yeah so she she had to hold like the plastic had a little you know the little rubber part ?
1019,uhhuh .
1020,she had to hold it like that .
1021,it was really weird .
1022,oh .
1023,she can't touch any kind of plastic .
1024,well I know a girl who can't go into the ocean .
1025,she breaks out .
1026,I guess the salt water that's what she said you know .
1027,that's weird .
1028,you know we were in the beach .
1029,and one of the guys didn't believe her .
1030,.
1031,and threw her in the water .
1032,he did ?
1033,and then you know ...
1034,lo hubiera matado pobrecita .
1035,we all realized that he wasn't lying .
1036,what a jerk !
1037,oh and who else ?
1038,my friend Selina .
1039,she's married .
1040,and she's allergic to latex ?
1041,uhhuh .
1042,yeah I know people who are allergic to that .
1043,you could be allergic to anything .
1044,Paige is allergic to nickel .
1045,she can't wear ...
1046,no ?
1047,all her silver and gold jewelry and everything she gave it to me .
1048,she can only wear //.
1049,no wait I'm sorry I think she can wear white gold .
1050,she can't wear silver at all .
1051,I know that for sure .
1052,not even her necklaces or anything .
1053,I'm like my god .
1054,nothing .
1055,I don't know if she's still like that .
1056,but she was like that for a few years .
1057,so I don't know .
1058,I know some allergies you can take like shots of medication .
1059,you're going to Old_Navy right now ?
1060,you're gonna come with me ?
1061,yeah .
1062,I was gonna go there and The Gap .
1063,well first Old_Navy because it's cheaper .
1064,okay .
1065,well maybe I'll find something in The Gap for the birthday boy .
1066,oh really ?
1067,yeah .
1068,"oh Paula's like ""/."
1069,get Carolina ...
