,sentence,pos,language,switch
107,they sold their house .,pro:sub part det:poss n .,ENG ENG ENG ENG,0
108,okay .,co .,ENG,0
109,but the thing is ...,conj det:art n cop +...,ENG ENG ENG ENG,0
110,that es su tío that has lived with him like I don't know how like ya several years ...,pro:dem L2 L2 L2 pro:rel aux part prep pro:obj co pro:sub mod v pro:int co L2 qn n +...,ENG ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ENG ENG,1
111,he doesn't pay anything .,pro:sub mod v pro:indef .,ENG ENG ENG ENG,0
112,él no paga nada en la casa .,pro:sub adv v v prep det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
113,like he doesn't like even water .,conj pro:sub mod v adj n .,ENG ENG ENG ENG ENG ENG,0
114,and he lives there with his /.,coord pro:sub v adv prep pro:poss +/.,ENG ENG ENG ENG ENG ENG,0
115,el machismo !,det:art n !,ENG ENG,0
116,he lives there with his wife and his daughter .,pro:sub v adv prep det:poss n coord det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
117,and I understand see you know if you don't have enough money at least algo you know .,coord pro:sub v v pro:per v comp pro:per mod v adj n prep n L2 pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ENG ENG,1
118,yeah .,co .,ENG,0
119,but nothing .,conj pro:indef .,ENG ENG,0
120,"so his mom's like ""/.","adv det:poss n prep +""/.",ENG ENG ENG ENG,0
121,I I can't mantener su familia any more you know .,pro:sub pro:sub mod L2 L2 L2 qn pro:indef pro:per v .,ENG ENG ENG ESP ESP ESP ENG ENG ENG ENG,1
122,I /.,pro:sub +/.,ENG,0
123,it's his wife and everybody ?,pro:per det:poss n coord pro:indef ?,ENG ENG ENG ENG ENG,0
124,not just ...,neg adv +...,ENG ENG,0
125,yeah you know .,co pro:per v .,ENG ENG ENG,0
126,and she's retired the /.,coord pro:sub part det:art +/.,ENG ENG ENG ENG,0
127,qué .,pro:int .,ENG,0
128,her she's responsible for the you know her mom .,det:poss pro:sub adj prep det:art pro:per v det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
129,and her older daughter .,coord det:poss adj n .,ENG ENG ENG ENG,0
130,pero ella es enfermita .,conj pro:sub cop n .,ENG ENG ENG ENG,0
131,yeah .,co .,ENG,0
132,so Fernando's like fed up with it .,adv adj co v adv prep pro:per .,ENG ENG ENG ENG ENG ENG ENG,0
133,well the thing is that they started looking for a new house to move in .,co det:art n cop comp pro:sub v part prep det:art adj n prep n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
134,just Fernando and his mom ?,adv n:prop coord det:poss n ?,ENG ENG ENG ENG ENG,0
135,uhhuh and his nieces .,co coord det:poss n .,ENG ENG ENG ENG,0
136,and the grandmother ?,coord det:art grand#n ?,ENG ENG ENG,0
137,if she wants to go with them .,conj pro:sub v inf v prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG,0
138,because she was taking /.,conj pro:sub aux part +/.,ENG ENG ENG ENG,0
139,but the sister the one that was married and lives somewhere else right .,conj det:art n det:art pro:indef pro:rel aux part coord v n post co .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
140,yeah she lives somewhere else .,co pro:sub v n post .,ENG ENG ENG ENG ENG,0
141,okay .,co .,ENG,0
142,but the grandmother was taking you know her son's side .,conj det:art grand#n aux part pro:per v det:poss adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
143,but the thing is that yeah /.,conj det:art n cop comp co +/.,ENG ENG ENG ENG ENG ENG,0
144,como siempre como siempre .,adv adv adv adv .,ENG ENG ENG ENG,0
145,I don't know yeah .,pro:sub mod v co .,ENG ENG ENG ENG,0
146,it's so annoying .,pro:per adv part .,ENG ENG ENG,0
147,los hombres .,det:art n .,ENG ENG,0
148,it's a little machista .,pro:per det:art adj L2 .,ENG ENG ENG ESP,1
149,Nick and his mom que todo era como hombre .,n:prop coord det:poss n L2 L2 L2 L2 L2 .,ENG ENG ENG ENG ESP ESP ESP ESP ESP,1
150,yeah .,co .,ENG,0
151,she tell me like they favor them so much .,pro:sub v pro:obj co pro:sub v pro:obj adv adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
152,yeah I don't know if it's like this hispanic thing /.,co pro:sub mod v comp pro:per co det:dem adj n +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
153,how annoying .,pro:int n:gerund .,ENG ENG,0
154,that the men are ...,comp det:art n cop +...,ENG ENG ENG ENG,0
155,yeah .,co .,ENG,0
156,no matter what the ...,co v pro:int det:art +...,ENG ENG ENG ENG,0
157,with my mom and my uncle you know my mom says that she's like you know she's always favored my uncle .,prep det:poss n coord det:poss n pro:per v det:poss n v comp pro:sub v pro:per v pro:sub adv part det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
158,my grandma was the same way with my brother .,det:poss grand#n cop det:art adj n prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
159,like even to this day she'll give like you know money to pay the rent y todo .,prep adv prep det:dem n pro:sub v prep pro:per v n inf v det:art n L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP,1
160,like if because he goes to work .,co conj conj pro:sub v prep n .,ENG ENG ENG ENG ENG ENG ENG,0
161,"and he's like ""/.","coord pro:sub prep +""/.",ENG ENG ENG,0
162,bueno yo no quiero ir .,co pro:sub adv v inf .,ENG ENG ENG ENG ENG,0
163,so he'll call in sick .,adv pro:sub v prep adj .,ENG ENG ENG ENG ENG,0
164,so to make up the difference my grandmother will give it to him .,adv inf v adv det:art n det:poss grand#n mod v pro:per prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
165,that's low .,pro:dem adj .,ENG ENG,0
166,qué jodían it's like stupid Nicaraguans !,L2 L2 pro:per conj adj n:prop !,ESP ESP ENG ENG ENG ENG,1
167,it's in general .,pro:per prep n .,ENG ENG ENG,0
168,I don't agree that's all yeah .,pro:sub mod v pro:dem pro:indef co .,ENG ENG ENG ENG ENG ENG,0
169,I think it's like all .,pro:sub v pro:per conj pro:indef .,ENG ENG ENG ENG ENG,0
170,I mean I understand helping your kid if they're in a crisis situation /.,pro:sub v pro:sub v part det:poss n conj pro:sub prep det:art n n +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
171,yeah but ...,co conj +...,ENG ENG,0
172,", pero darle lo que quieres dar ...",cm conj inf pro:obj pro:rel v inf +...,ENG ENG ENG ENG ENG ENG ENG,0
173,wow well the thing is that they found this place right .,co adv det:art n cop comp pro:sub v det:dem n adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
174,but the house comes with a little efficiency .,conj det:art n v prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
175,outside .,adv .,ENG,0
176,oh okay .,co co .,ENG ENG,0
177,within the .,adv det:art .,ENG ENG,0
178,you know within the area ?,pro:per v prep det:art n ?,ENG ENG ENG ENG ENG,0
179,"and so Fernando's like ""/.","coord co adj prep +""/.",ENG ENG ENG ENG,0
180,well just tell my uncle that he wants to go live with us that he can rent the apartment out .,co adv v det:poss n pro:rel pro:sub v inf v v prep pro:obj comp pro:sub mod v det:art n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
181,rent okay .,n adj .,ENG ENG,0
182,don't let him know that it comes with the house .,mod v pro:obj v comp pro:per v prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
183,bueno .,co .,ENG,0
184,"so they're like ""/.","adv pro:sub prep +""/.",ENG ENG ENG,0
185,well if you wanna move in next to us it's cheap it's fifty dollars .,co conj pro:per v v adv adv prep pro:obj pro:per adj pro:per det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
186,and you're not gonna get cheaper than that anywhere .,coord pro:per neg part v adj prep pro:dem adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
187,mhm .,co .,ENG,0
188,so he's gonna pay for the fifty dollars his water his light .,adv pro:sub part v prep det:art det:num n det:poss n det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
189,he thinks that he's just helping out .,pro:sub v comp pro:sub adv part adv .,ENG ENG ENG ENG ENG ENG ENG,0
190,yeah .,co .,ENG,0
191,don't wanna know .,mod v v .,ENG ENG ENG,0
192,it's you know but that was the only way ...,pro:per pro:per v conj pro:dem cop det:art qn n +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
193,.,None,,0
194,to make him you know .,inf v pro:obj pro:per v .,ENG ENG ENG ENG ENG,0
195,but why do they have to live with him ?,conj pro:int mod pro:sub v inf v prep pro:obj ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
196,why can't he live with his wife and kids in another place ?,pro:int mod pro:sub v prep det:poss n coord n prep qn n ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
197,because apparently he can't afford living on his own .,conj adv pro:sub mod v part prep det:poss adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
198,the grandmother wants the ...,det:art grand#n v det:art +...,ENG ENG ENG ENG,0
199,I know the situation's difficult y todo but ...,pro:sub v det:art adj adj L2 L2 conj +...,ENG ENG ENG ENG ENG ESP ESP ENG,1
200,pero he works ?,L2 pro:sub v ?,ESP ENG ENG,1
201,a lot of yeah .,det:art n prep co .,ENG ENG ENG ENG,0
202,and his wife works también ?,coord det:poss n v L2 ?,ENG ENG ENG ENG ESP,1
203,yes .,co .,ENG,0
204,and somehow Fernando's /.,coord adv adj +/.,ENG ENG ENG,0
205,how many kids do they have ?,pro:int qn n mod pro:sub v ?,ENG ENG ENG ENG ENG ENG,0
206,one kid ?,det:num n ?,ENG ENG,0
207,one little girl .,det:num adj n .,ENG ENG ENG,0
208,and they can't afford rent or anything ?,coord pro:sub mod v n coord pro:indef ?,ENG ENG ENG ENG ENG ENG ENG,0
209,not even ...,neg adv +...,ENG ENG,0
210,and Fernando's mom retired .,coord adj n v .,ENG ENG ENG ENG,0
211,and Fernando are sustaining all of them .,coord n:prop cop n:gerund adv prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG,0
212,I mean that's like ridiculous .,pro:sub v comp prep adj .,ENG ENG ENG ENG ENG,0
213,that's crazy .,pro:dem adj .,ENG ENG,0
214,pero bueno .,conj co .,ENG ENG,0
215,but I'm going on Friday .,conj pro:sub part prep n:prop .,ENG ENG ENG ENG ENG,0
216,for how long ten days ?,prep pro:int adj det:num n ?,ENG ENG ENG ENG ENG,0
217,yeah .,co .,ENG,0
218,take pictures ah exciting !,v n co part !,ENG ENG ENG ENG,0
219,yeah I can't wait to get ...,co pro:sub mod v inf v +...,ENG ENG ENG ENG ENG ENG,0
220,I need a .,pro:sub v det:art .,ENG ENG ENG,0
221,does Spirit fly to Nicaragua ?,mod n:prop n prep n:prop ?,ENG ENG ENG ENG ENG,0
222,from huh ?,prep co ?,ENG ENG,0
223,Spirit airlines do they fly to Nicaragua ?,n:prop n v pro:sub v prep n:prop ?,ENG ENG ENG ENG ENG ENG ENG,0
224,yeah .,co .,ENG,0
225,from Fort_Lauderdale ?,prep n:prop ?,ENG ENG,0
226,Fernando ...,n:prop +...,ENG,0
227,my my friends ones at work .,det:poss det:poss n det:num prep n .,ENG ENG ENG ENG ENG ENG,0
228,uhhuh .,co .,ENG,0
229,the ones I was telling you about right now .,det:art det:num pro:sub aux part pro:per adv adv adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
230,but the whole drama thing and everything .,conj det:art adj n n coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG,0
231,they joined the Spirit airfare thing .,pro:sub v det:art n:prop n n .,ENG ENG ENG ENG ENG ENG,0
232,mhm .,co .,ENG,0
233,and for nine dollars .,coord prep det:num n .,ENG ENG ENG ENG,0
234,they're going to New_York for thirty six dollars round trip .,pro:sub part prep n:prop prep det:num det:num n adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
235,Fernando joined it .,n:prop v pro:per .,ENG ENG ENG,0
236,he's been telling me to join .,pro:sub aux part pro:obj inf v .,ENG ENG ENG ENG ENG ENG,0
237,"I told Michael I'm like ""/.","pro:sub v n:prop pro:sub prep +""/.",ENG ENG ENG ENG ENG,0
238,I think I'm going to do it .,pro:sub v pro:sub part inf v pro:per .,ENG ENG ENG ENG ENG ENG ENG,0
239,well you pay nine dollars for the first three months .,co pro:per v det:num n prep det:art adj det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
240,and then after that it's thirty dollars for the whole year .,coord adv:tem conj adv pro:per det:num n prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
241,so even if you don't end up buying an airfare you still save what you would .,adv adv conj pro:per mod v adv part det:art n pro:per adv v pro:int pro:per mod .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
242,it's thirty yeah .,pro:per det:num co .,ENG ENG ENG,0
243,yeah and the odds are you are gonna travel at least to one place .,co coord det:art n:pt aux pro:per aux part v prep n prep det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
244,it's just like ...,pro:per adj prep +...,ENG ENG ENG,0
245,and so we have another firm .,coord co pro:sub v qn n .,ENG ENG ENG ENG ENG ENG,0
246,our architecture firm .,det:poss n adj .,ENG ENG ENG,0
247,uhhuh .,co .,ENG,0
248,like next door our office .,prep adj n det:poss n .,ENG ENG ENG ENG ENG,0
249,and the reception there and the office manager in in our office are going everywhere .,coord det:art n adv coord det:art n n adv prep det:poss n aux part adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
250,like they went to New_York .,conj pro:sub v prep n:prop .,ENG ENG ENG ENG ENG,0
251,they did a whole thing in New_York for twenty four hours .,pro:sub v det:art adj n prep n:prop prep det:num det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
252,they flew in like at six in the morning .,pro:sub v prep co prep det:num prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
253,I should do ...,pro:sub mod v +...,ENG ENG ENG,0
254,and left like at six in the morning the next day .,coord v prep prep det:num prep det:art n det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
255,they were up the whole day .,pro:sub cop adv det:art adj n .,ENG ENG ENG ENG ENG ENG,0
256,uhhuh .,co .,ENG,0
257,this time round they're doing the same thing for .,det:dem n adv pro:sub part det:art adj n prep .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
258,but they're coming on a Friday and leaving on a Saturday .,conj pro:sub part prep det:art n:prop coord part prep det:art n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
259,then they're going to Boston .,adv:tem pro:sub part prep n:prop .,ENG ENG ENG ENG ENG,0
260,oh !,co !,ENG,0
261,they gave them a list .,pro:sub v pro:obj det:art n .,ENG ENG ENG ENG ENG,0
262,they're going to Boston .,pro:sub part prep n:prop .,ENG ENG ENG ENG,0
263,they're going to Washington .,pro:sub part prep n:prop .,ENG ENG ENG ENG,0
264,"they're going to the husband's like ""/.","pro:sub part prep det:art n prep +""/.",ENG ENG ENG ENG ENG ENG,0
265,y ay !,coord co !,ENG ENG,0
266,are you okay like ?,cop pro:per co prep ?,ENG ENG ENG ENG,0
267,.,None,,0
268,you know like after a while .,pro:per v prep prep det:art n .,ENG ENG ENG ENG ENG ENG,0
269,so hello !,co n !,ENG ENG,0
270,he was like .,pro:sub cop prep .,ENG ENG ENG,0
271,"yeah he says ""/.","co pro:sub v +""/.",ENG ENG ENG,0
272,are you gonna travel the whole country with Paige ?,cop pro:per part v det:art adj n prep n:prop ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
273,porque se llama Paige the girl .,L2 L2 L2 n:prop det n .,ESP ESP ESP ENG ENG ENG,1
274,ah !,co !,ENG,0
275,so it's really gonna .,adv pro:per adv part .,ENG ENG ENG ENG,0
276,"I'm like ""/.","pro:sub prep +""/.",ENG ENG,0
277,I think I'm gonna join .,pro:sub v pro:sub part v .,ENG ENG ENG ENG ENG,0
278,the only thing is they don't fly to Canada so I'm like ...,det:art qn n cop pro:sub mod v prep n:prop conj pro:sub prep +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
279,yeah .,co .,ENG,0
280,but they fly to Chicago .,conj pro:sub v prep n:prop .,ENG ENG ENG ENG ENG,0
281,they have Chicago from Fort_Lauderdale .,pro:sub v n:prop prep n:prop .,ENG ENG ENG ENG ENG,0
282,for forty eighty eight dollars round trip .,prep det:num det:num det:num n adj n .,ENG ENG ENG ENG ENG ENG ENG,0
283,Fernando from Nicaragua he paid I think it was like one hundred and two or something like that something ridiculous .,n:prop prep n:prop pro:sub v pro:sub v pro:per cop co det:num det:num coord det:num coord pro:indef co adv pro:indef adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
284,Jamaica round trip ticket to Kingston where Michael stays one oh nine .,n:prop n n n prep n:prop pro:rel n:prop v det:num co det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
285,it's good .,pro:per adj .,ENG ENG,0
286,.,None,,0
287,so what happened at work ?,adv pro:int v prep n ?,ENG ENG ENG ENG ENG,0
